date,bathing_liters,laundry_liters,cleaning_liters,cooking_liters,gardening_liters,drinking_liters,toilet_liters,other_liters
2026-07-22,154.7,92.6,44.4,35.8,73.0,15.9,99.1,22.8
2026-07-23,124.2,90.9,42.7,31.2,82.3,14.7,82.9,17.9
2026-07-24,105.3,78.2,49.6,22.7,57.1,16.8,111.1,26.8
2026-07-25,141.8,122.2,33.9,31.0,91.7,13.4,97.3,18.6
2026-07-26,139.6,117.8,45.1,27.8,104.3,18.3,94.0,25.4
2026-07-27,155.7,89.2,40.2,21.8,84.1,13.0,87.0,25.4
2026-07-28,149.0,79.7,43.6,27.2,69.9,13.6,113.8,22.9
2026-07-29,144.8,75.8,46.4,27.6,73.8,16.9,78.1,18.5
2026-07-30,109.2,90.1,39.5,30.4,73.1,15.6,115.6,24.0
2026-07-31,142.8,96.5,38.3,38.3,69.4,13.4,96.9,26.7
2026-08-01,179.8,130.9,41.0,36.1,101.5,16.1,93.1,25.8
2026-08-02,126.0,133.4,43.3,32.6,95.9,14.7,116.3,19.3
2026-08-03,141.3,87.8,47.4,34.7,79.9,14.7,97.8,26.4
2026-08-04,170.5,80.2,43.5,31.9,79.7,15.0,107.0,24.0
2026-08-05,143.3,86.6,58.4,32.9,87.5,13.6,110.4,23.2
2026-08-06,165.0,83.3,45.8,29.7,241.0,14.9,90.4,25.7
2026-08-07,138.4,80.7,44.2,35.7,71.9,18.4,93.8,28.7
2026-08-08,171.1,97.2,57.0,18.9,89.0,17.8,85.6,27.5
2026-08-09,132.9,123.8,51.3,25.7,79.4,14.5,80.8,20.3
2026-08-10,135.1,92.0,42.6,32.2,80.7,14.6,94.5,22.4
2026-08-11,114.4,96.2,38.9,33.8,83.7,14.2,120.6,25.0
2026-08-12,147.6,60.0,40.0,29.9,68.5,12.4,103.9,25.3
2026-08-13,147.9,66.3,46.2,19.5,56.9,16.3,94.1,22.5
2026-08-14,94.4,87.5,44.8,34.3,76.4,14.0,95.7,29.9
2026-08-15,104.4,120.5,44.9,32.2,108.8,16.6,96.0,30.1
2026-08-16,133.6,113.9,49.7,37.8,85.6,14.2,108.3,30.0
2026-08-17,127.8,78.0,43.7,28.2,90.4,15.5,77.9,26.8
2026-08-18,122.9,92.0,52.9,28.2,81.4,17.0,90.6,29.9
2026-08-19,139.8,73.0,35.9,32.0,61.8,19.4,105.9,25.1
2026-08-20,171.4,86.1,44.0,24.9,76.1,17.8,103.9,21.9
2026-08-21,152.6,94.7,50.4,38.4,63.8,14.1,101.0,23.5
2026-08-22,159.7,149.5,39.2,36.1,75.7,13.7,91.7,24.4
2026-08-23,122.5,130.8,37.8,37.8,99.3,14.9,108.9,24.4
2026-08-24,134.3,108.0,36.1,29.6,58.7,13.8,105.8,25.6
2026-08-25,117.2,99.7,43.0,36.0,79.6,16.3,101.2,17.7
2026-08-26,163.1,88.2,42.8,38.0,62.2,17.0,94.3,22.7
2026-08-27,207.8,93.2,54.6,27.1,54.3,16.6,104.7,23.9
2026-08-28,94.2,92.9,43.3,26.4,72.7,13.0,85.6,24.9
2026-08-29,457.3,123.8,45.3,33.2,91.6,12.7,123.4,22.5
2026-08-30,121.4,132.2,43.7,26.9,107.6,16.7,97.3,29.0
2026-08-31,134.2,91.8,43.8,28.5,77.5,12.3,121.1,32.0
2026-09-01,199.8,93.7,36.8,27.7,81.4,12.8,81.3,22.9
2026-09-02,143.4,94.5,38.7,25.3,84.7,13.1,106.1,23.0
2026-09-03,158.3,108.6,50.0,28.3,65.6,13.9,112.6,23.1
2026-09-04,134.5,95.5,37.4,27.5,56.2,14.5,64.8,26.5
2026-09-05,123.3,104.3,38.6,29.4,99.7,8.2,104.2,28.0
2026-09-06,164.5,104.0,38.6,27.8,120.6,16.4,63.9,24.4
2026-09-07,140.0,66.4,42.4,27.4,66.6,14.0,87.4,17.8
2026-09-08,177.4,84.2,33.9,29.7,72.6,18.7,69.4,26.3
2026-09-09,104.7,81.8,48.5,33.0,62.8,15.4,74.7,29.0
2026-09-10,158.6,85.8,56.7,30.2,59.2,15.3,110.3,17.3
2026-09-11,129.3,75.4,47.4,40.6,77.7,18.2,94.7,25.3
2026-09-12,158.7,434.1,57.1,35.5,68.9,16.2,87.4,32.1
2026-09-13,178.9,98.6,47.8,35.8,93.3,16.3,94.2,28.0
2026-09-14,165.1,51.6,50.6,28.5,67.0,14.2,68.1,23.7
2026-09-15,123.1,79.7,42.4,24.7,75.5,18.6,115.4,21.0
2026-09-16,169.7,89.9,42.5,33.9,62.1,16.7,75.4,25.2
2026-09-17,161.9,70.2,38.6,18.5,52.0,12.9,95.4,25.8
2026-09-18,142.3,86.1,45.7,29.8,89.8,11.9,112.1,33.6
2026-09-19,127.0,120.7,39.3,28.0,69.1,15.8,73.5,23.0
