date,bathing_liters,laundry_liters,cleaning_liters,cooking_liters,gardening_liters,drinking_liters,toilet_liters,other_liters
2026-07-22,148.4,87.0,37.2,25.8,72.1,14.1,77.3,18.0
2026-07-23,141.8,72.7,41.3,28.0,85.8,16.1,109.2,25.1
2026-07-24,164.2,107.3,47.1,31.2,67.6,12.2,90.3,24.8
2026-07-25,141.2,114.6,46.8,24.2,90.9,18.4,113.5,27.1
2026-07-26,141.8,92.8,54.4,32.2,100.7,15.3,95.8,28.4
2026-07-27,160.5,105.1,42.7,27.2,57.5,16.8,94.6,23.3
2026-07-28,173.2,79.5,38.2,30.6,63.2,15.9,107.8,30.7
2026-07-29,132.0,89.3,35.6,35.0,67.9,13.1,102.1,26.7
2026-07-30,144.0,93.1,40.0,35.2,57.3,16.2,93.3,24.9
2026-07-31,161.2,73.3,41.6,21.7,55.8,16.6,64.0,26.9
2026-08-01,119.4,92.8,40.0,32.5,113.5,10.8,104.6,33.6
2026-08-02,169.3,116.7,42.3,34.2,97.7,11.5,86.8,27.0
2026-08-03,168.6,90.9,41.8,26.7,73.2,13.4,65.2,22.4
2026-08-04,117.5,99.2,45.6,29.4,70.5,13.9,90.6,27.9
2026-08-05,131.9,88.5,37.7,32.0,80.2,13.8,100.1,22.9
2026-08-06,137.3,90.0,58.8,26.8,261.9,14.1,97.9,16.6
2026-08-07,137.0,70.7,51.7,20.9,70.7,13.1,138.8,28.1
2026-08-08,164.4,144.2,40.6,16.2,125.1,15.2,83.7,26.3
2026-08-09,164.6,113.5,47.4,31.7,75.0,21.7,97.9,30.2
2026-08-10,162.1,81.8,52.1,33.4,75.4,15.8,85.1,19.2
2026-08-11,152.2,69.2,39.2,33.6,77.7,11.7,100.1,27.0
2026-08-12,128.8,87.6,48.1,37.0,55.4,19.6,112.2,18.1
2026-08-13,135.9,80.0,44.7,31.9,67.0,12.4,86.5,25.5
2026-08-14,108.6,69.3,34.8,36.7,49.5,11.9,121.5,27.4
2026-08-15,108.9,103.2,51.5,23.4,80.7,13.7,66.0,21.6
2026-08-16,161.4,147.8,41.9,24.9,115.6,13.6,86.1,23.1
2026-08-17,116.8,74.0,46.5,25.9,74.9,19.0,80.2,30.2
2026-08-18,169.8,77.5,52.8,30.3,64.6,15.7,103.6,27.6
2026-08-19,173.4,82.8,40.9,29.8,67.2,14.1,82.2,28.7
2026-08-20,138.4,104.3,41.9,34.6,67.2,11.0,100.1,26.2
2026-08-21,125.1,79.2,50.7,36.2,79.6,14.0,95.6,23.2
2026-08-22,145.8,122.9,44.7,32.5,76.1,14.5,89.3,26.3
2026-08-23,148.0,133.0,39.3,34.8,89.7,17.6,78.3,27.6
2026-08-24,100.1,89.7,34.3,21.2,71.9,15.9,79.1,26.3
2026-08-25,165.9,74.9,46.0,27.2,72.4,14.2,99.3,31.2
2026-08-26,160.0,88.8,39.0,37.9,81.0,14.0,90.5,21.1
2026-08-27,144.0,96.4,43.1,34.8,73.1,15.0,80.4,26.6
2026-08-28,141.4,90.6,55.0,29.7,75.1,15.0,85.9,26.0
2026-08-29,495.6,106.4,44.3,24.2,83.2,14.2,116.4,19.4
2026-08-30,105.6,85.1,50.9,25.4,103.7,17.1,88.1,24.0
2026-08-31,141.6,71.5,43.4,29.3,73.8,14.8,102.6,31.8
2026-09-01,147.7,84.5,34.7,31.7,70.9,10.5,92.6,25.8
2026-09-02,133.4,50.1,53.2,30.2,61.7,15.3,82.4,22.3
2026-09-03,179.2,74.9,41.1,26.7,51.2,12.5,96.1,23.1
2026-09-04,159.8,92.3,42.0,31.8,76.6,13.4,109.8,32.1
2026-09-05,161.4,116.5,48.1,33.9,133.6,15.3,111.1,28.2
2026-09-06,143.9,131.6,44.5,30.7,90.2,14.6,115.3,24.1
2026-09-07,140.3,85.8,38.9,32.0,87.5,15.4,88.1,34.5
2026-09-08,176.7,82.3,40.0,27.9,63.3,15.7,65.3,23.3
2026-09-09,117.1,109.3,52.7,34.7,57.0,16.6,84.0,29.0
2026-09-10,151.1,66.3,40.1,33.4,71.9,16.4,117.9,28.3
2026-09-11,104.1,86.8,49.1,31.3,73.1,12.6,116.7,26.0
2026-09-12,147.4,414.1,46.5,26.0,87.8,11.8,99.5,23.2
2026-09-13,157.6,128.2,39.0,37.6,112.0,16.7,107.8,26.1
2026-09-14,104.8,74.4,50.7,32.0,69.9,12.5,107.9,26.6
2026-09-15,98.0,96.8,49.9,32.4,60.1,12.0,90.4,28.4
2026-09-16,123.5,83.5,38.1,24.4,61.6,16.0,79.5,20.8
2026-09-17,119.4,94.8,39.7,37.7,72.5,16.4,78.2,28.6
2026-09-18,163.6,84.5,44.8,28.7,57.4,14.5,80.7,20.1
2026-09-19,139.5,148.1,37.6,33.5,84.6,14.3,108.0,26.8
